EID,TAG,brd,sex,Date Time
,,,,
982000119165306,,,,1/26/2016 11:00 AM
,,,,
982000119165329,,,,1/26/2016 11:01 AM
,,,,
982000119165308,,,,1/26/2016 11:01 AM
,,,,
982000119165854,,,,1/26/2016 11:01 AM
,,,,
982000119165658,,,,1/26/2016 11:01 AM
,,,,
982000119165878,,,,1/26/2016 11:04 AM
,,,,
982000119165235,,,,1/26/2016 11:04 AM
,,,,
982000119165241,BJ078,BORAN,Male,1/26/2016 11:04 AM
,,,,
982000119165640,,,,1/26/2016 11:04 AM
,,,,
982000119165380,,,,1/26/2016 11:04 AM
,,,,
982000119165543,BL109,NULL,Male,1/26/2016 11:04 AM
,,,,
982000119165948,BK188,AYRSHIRE,Male,1/26/2016 11:04 AM
,,,,
982000119165333,,,,1/26/2016 11:04 AM
,,,,
982000119165251,BK173,AYRSHIRE,Male,1/26/2016 11:04 AM
,,,,
982000119165732,BL062,NULL,Female,1/26/2016 11:06 AM
,,,,
982000119165424,BL051,NULL,Female,1/26/2016 11:06 AM
,,,,
982000119165423,BL052,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165624,BL061,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165352,BL058,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165556,BL055,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165908,BL056,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165447,BL054,NULL,Female,1/26/2016 11:07 AM
,,,,
982000119165582,ND228,NDAMA,Female,1/26/2016 11:12 AM
,,,,
982000119165427,ND230,NDAMA,Female,1/26/2016 11:12 AM
,,,,
982000119165937,BJ063,BXF,Female,1/26/2016 11:12 AM
,,,,
982000119165786,BJ050,FXZ,Female,1/26/2016 11:13 AM
,,,,
982000119165719,BE005,JXF,Female,1/26/2016 11:13 AM
,,,,
982000119165394,BK045,FXB,Female,1/26/2016 11:13 AM
,,,,
982000119165998,BL012,NULL,Male,1/26/2016 11:13 AM
,,,,
982000119165452,BK245,NULL,Male,1/26/2016 11:13 AM
,,,,
982000119165436,,,,1/26/2016 11:14 AM
,,,,
982000119165434,BL006,NULL,Male,1/26/2016 11:14 AM
,,,,
982000119165382,BH034,FXJ,Female,1/26/2016 11:14 AM
,,,,
982000119165902,BL011,NULL,Male,1/26/2016 11:14 AM
,,,,
982000119165425,,,,1/26/2016 11:14 AM
,,,,
982000119165554,BL003,NULL,Male,1/26/2016 11:14 AM
,,,,
982000119165420,BL002,NULL,Male,1/26/2016 11:14 AM
,,,,
982000119165866,BJ072,FXB,Female,1/26/2016 11:15 AM
,,,,
982000119165349,BH106,FXB,Female,1/26/2016 11:15 AM
,,,,
982000119165920,ND237,NULL,Male,1/26/2016 11:15 AM
,,,,
982000119165800,BK243,FXB,Female,1/26/2016 11:15 AM
,,,,
982000119165426,BF051,BORAN,Female,1/26/2016 11:15 AM
,,,,
982000119165363,BL013,NULL,Female,1/26/2016 11:15 AM
,,,,
982000119165996,BJ075,BXF,Female,1/26/2016 11:15 AM
,,,,
982000119165679,BH032,FXND,Female,1/26/2016 11:15 AM
,,,,
982000119165455,BL005,NULL,Female,1/26/2016 11:15 AM
,,,,
982000119166011,BH103,FXJ,Female,1/26/2016 11:15 AM
,,,,
982000119165411,BK004,BXF,Female,1/26/2016 11:16 AM
,,,,
982000119165627,,,,1/26/2016 11:16 AM
,,,,
982000119165955,BK248,NULL,Male,1/26/2016 11:16 AM
,,,,
982000119165611,BK003,NDXF,Female,1/26/2016 11:16 AM
,,,,
982000119165432,BK256,FXB,Female,1/26/2016 11:16 AM
,,,,
982000119165475,BK001,BXF,Female,1/26/2016 11:16 AM
,,,,
982000119165530,BF041,BORAN,Female,1/26/2016 11:17 AM
,,,,
982000119165885,BH064,BORAN,Female,1/26/2016 11:18 AM
,,,,
982000119165628,BH069,BORAN,Female,1/26/2016 11:18 AM
,,,,
982000119165680,BH057,BORAN,Female,1/26/2016 11:18 AM
,,,,
982000119165417,BH067,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119166015,BL045,NULL,Male,1/26/2016 11:19 AM
,,,,
982000119165359,BH070,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119165389,,,,1/26/2016 11:19 AM
,,,,
982000119165835,BH066,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119165565,BH068,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119165985,BH059,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119165414,,,,1/26/2016 11:19 AM
,,,,
982000119165991,,,,1/26/2016 11:19 AM
,,,,
982000119165317,,,,1/26/2016 11:19 AM
,,,,
982000119165416,BL007,NULL,Male,1/26/2016 11:19 AM
,,,,
982000119165906,BH065,BORAN,Female,1/26/2016 11:19 AM
,,,,
982000119165392,,,,1/26/2016 11:19 AM
,,,,
982000119165558,BL179,NULL,Female,1/26/2016 11:19 AM
